artist_name,birth_year,died_in
Olafur Arnalds,1986,NULL
Otis Redding,1941,1967
Joanna Newsom,1982,NULL
John Lennon,1940,1980
Paul McCartney,1942,NULL
Ringo Starr,1940,NULL
George Harrison,1943,2001
Amy Winehouse,1983,2011
Ludovico Einaudi,1955,NULL
Tim Collis,NULL,NULL
Henry Tremain,NULL,NULL
Chris Collis,NULL,NULL
Alejandro Rose-Garcia,1987,NULL
Marvin Gaye,1939,1984
Tom Misch,1995,NULL
Donald Glover,1983,NULL
Scott Hutchison,1981,2018
Carter Beauford,1958,NULL
Lianne La Havas,1989,NULL
Dave Grohl,1969,NULL
Jimi Hendrix,1942,1970
Bryan Devendorf,NULL,NULL
Rob Lowe,NULL,NULL
Aaron Dessner,1976,NULL
Justin Vernon,1981,NULL
Kanye West,1977,NULL
Aisha Burns,1987,NULL
Sven Eric Gamsky,1992,NULL
Mitch Mitchell,1946,2008
Bruno Mars,1985,NULL
Adele,1988,NULL
Beyonce,1981,NULL
Sophie Hawley-Weld,1992,NULL
Tucker Halpern,1989,NULL
Kelly Rowland,1981,NULL
Michelle Williams,1979,NULL
Jamila Woods,1989,NULL
Hania Rani,1990,NULL
Xavier Rosé,NULL,NULL
Christophe Le Flohic,NULL,NULL
Jonathan Siche,NULL,NULL
Bertrand James,NULL,NULL
Yamazaki Hirokazu,NULL,NULL
Yamane Satoshi,NULL,NULL
Mino Takaaki,NULL,NULL
Kashikura Takashi,NULL,NULL
Ikumi Nakajima,NULL,NULL
Motoko Kida,NULL,NULL
Hiromi Sagane,NULL,NULL
Agnetha Faltskog,1950,NULL
Anni-Frid Lyngstad,1945,NULL
Bjorn Ulvaeus,1945,NULL
Benny Andersson,1946,NULL
Wally de Backer,1980,NULL
Angus Young,1955,NULL
Malcolm Young,1953,2017
Brian Johnson,1943,NULL
Phil Rudd,1954,NULL
Cliff Williams,1941,NULL
Jack Black,1969,NULL
Kyle Gass,1960,NULL
Tinashe Fazakerley,1984,NULL
Marko Halanevych,NULL,NULL
Olena Tsybulska,NULL,NULL
Iryna Kovalenko,NULL,NULL
Nina Garenetska,NULL,NULL
Rodrigo Sánchez,1974,NULL
Gabriela Quintero,1973,NULL
