band_num,artist_name,band_name,primary_instrument
1,Dave Grohl,Nirvana,Drums
2,Dave Grohl,Foo Fighters,Various
3,Dave Grohl,Queens of the Stoneage,Drums
4,Dave Grohl,Tenacious D,Drums
1,Olafur Arnalds,Solo,Piano
1,Otis Redding,Solo,Voice
1,Joanna Newsom,Solo,Harp
1,John Lennon,The Beatles,Piano
2,John Lennon,Plastic Ono Band,Various
1,Paul McCartney,The Beatles,Bass
2,Paul McCartney,Wings,Bass
1,Ringo Starr,The Beatles,Drums
1,George Harrison,The Beatles,Guitar
2,George Harrison,Solo,Guitar
1,Amy Winehouse,Solo,Voice
1,Ludovico Einaudi,Solo,Piano
1,Tim Collis,TTNG,Guitar
1,Henry Tremain,TTNG,Voice
1,Chris Collis,TTNG,Drums
1,Alejandro Rose-Garcia,Shakey Graves,Guitar
1,Marvin Gaye,Solo,Voice
1,Tom Misch,Solo,Various
1,Donald Glover,Childish Gambino,Voice
1,Scott Hutchison,Frightened Rabbit,Voice
1,Carter Beauford,Dave Matthews Band,Drums
1,Lianne La Havas,Solo,Various
1,Jimi Hendrix,Jimi Hendrix Experience,Guitar
1,Bryan Devendorf,The National,Drums
1,Rob Lowe,Balmorhea,Various
1,Justin Vernon,Bon Iver,Various
1,Kanye West,Kanye West,Voice
1,Aisha Burns,Balmorhea,Violin
2,Aisha Burns,Solo,Violin
1,Sven Eric Gamsky,Still Woozy,Various
1,Mitch Mitchell,Jimi Hendrix Experience,Drums
1,Claudio Sanchez,Coheed and Cambria,Voice
1,Travis Stever,Coheed and Cambria,Guitar
1,Josh Eppard,Coheed and Cambria,Drums
1,Zach Cooper,Coheed and Cambria,Bass
1,Bruno Mars,Solo,Voice
1,Adele,Solo,Voice
1,Beyonce,Solo,Voice
2,Beyonce,Destiny's Child,Voice
1,Sophie Hawley-Weld,Sofi Tukker,Voice
1,Tucker Halpern,Sofi Tukker,Various
1,Kelly Rowland,Destiny's Child,Voice
1,Michelle Williams,Destiny's Child,Voice
1,Jamila Woods,Solo,Voice
1,Markus Acher,The Notwist,Voice
1,Micha Acher,The Notwist,Bass
1,Andi Haberl,The Notwist,Drums
1,Hania Rani,Solo,Piano
1,Xavier Rosé,Totorro,Guitar
1,Christophe Le Flohic,Totorro,Guitar
1,Jonathan Siche,Totorro,Guitar
1,Bertrand James,Totorro,Drums
1,Yamazaki Hirokazu,Toe,Guitar
1,Yamane Satoshi,Toe,Bass
1,Mino Takaaki,Toe,Guitar
1,Kashikura Takashi,Toe,Drums
1,Ikumi Nakajima,Tricot,Voice
1,Motoko Kida,Tricot,Guitar
1,Hiromi Sagane,Tricot,Bass
1,Agnetha Faltskog,ABBA,Voice
1,Anni-Frid Lyngstad,ABBA,Voice
1,Bjorn Ulvaeus,ABBA,Guitar
1,Benny Anderso,ABBA,Various
1,Bono,U2,Voice
1,Adam Clayton,U2,Bass
1,The Edge,U2,Guitar
1,"Larry Mullen, Jr. ",U2,Drums
1,Wally de Backer,Gotye,Various
1,Angus Young,AC/DC,Guitar
1,Malcom Young,AC/DC,Guitar
1,Brian Johnson,AC/DC,Voice
1,Phil Rudd,AC/DC,Drums
1,Cliff Williams,AC/DC,Bass
1,Jack Black,Tenacious D,Voice
1,Kyle Gass,Tenacious D,Guitar
1,Tinashe Fazakerley,Rationale,Mbira
1,Marko Halanevych,DakhaBrakha,Voice
1,Olena Tsybulska,DakhaBrakha,Drums
1,Iryna Kovalenko,DakhaBrakha,Various
1,Nina Garenetska,DakhaBrakha,Cello
1,Rodrigo Sánchez,Rodrigo y Gabriela,Guitar
1,Gabriela Quintero,Rodrigo y Gabriela,Guitar
