band_name,album_name,label_name
Aisha Burns,Life in the Midwater,Western Vinyl
Aisha Burns,Argonauta,Western Vinyl
Balmorhea,Balmorhea,Western Vinyl
Balmorhea,Rivers Arms,Western Vinyl
Balmorhea,"All Is Wild, All Is Silent",Western Vinyl
Balmorhea,Stranger,Western Vinyl
Balmorhea,Clear Language,Western Vinyl
Balmorhea,The Wind,Western Vinyl
The Beatles,Please Please Me,Parlophone
The Beatles,With The Beatles,Parlophone
The Beatles,A Hard Day’s Night,United Artists
The Beatles,Sgt Pepper’s Lonely Hearts Club Band,Capitol
The Beatles,White Album,Apple
The Beatles,Yellow Submarine,Capitol
The Beatles,Abbey Road,Apple
The Beatles,Let It Be,Apple
TTNG,Animals,Big Scary Monsters
TTNG,13.0.0.0.0,Big Scary Monsters
TTNG,Disappointment Island,Big Scary Monsters
Shakey Graves,Roll The Bones,Dualtone
Shakey Graves,And The War Came,Dualtone
Shakey Graves,Can't Wake Up,Dualtone
Childish Gambino,Camp,RCA
Childish Gambino,Because The Internet,RCA
Childish Gambino,"Awaken, My Love!",RCA
Childish Gambino,3.15.20,RCA
Frightened Rabbit,Sing The Greys,Atlantic
Frightened Rabbit,The Midnight Organ Fight,Atlantic
Frightened Rabbit,The Winter of Mixed Drinks,Atlantic
Frightened Rabbit,Pedestrian Verse,Atlantic
Frightened Rabbit,Painting of a Panic Attack,Atlantic
Dave Matthews Band,Under the Table and Dreaming,RCA
Dave Matthews Band,Crash,RCA
Dave Matthews Band,Before These Crowded Streets,RCA
Dave Matthews Band,Everyday,RCA
Nirvana,Bleach,Sub Pop
Nirvana,Nevermind,Sub Pop
Nirvana,In Utero,Sub Pop
Foo Fighters,Foo Fighters,RCA
Foo Fighters,The Colour and the Shape,RCA
Foo Fighters,There Is Nothing Left to Lose,RCA
Foo Fighters,One By One,RCA
Foo Fighters,In Your Honor,RCA
The National,The National,4AD
The National,Sad Songs for Dirty Lovers,4AD
The National,Alligator,4AD
The National,Boxer,4AD
The National,High Violet,4AD
The National,Trouble Will Find Me,4AD
Bon Iver,"For Emma, Forever Ago",4AD
Bon Iver,Bon Iver,4AD
Bon Iver,"22, A Million",4AD
Bon Iver,"I, I",4AD
Still Woozy,Lately EP,Interscope Records
Olafur Arnalds,Eulogy for Evolution,Erased Tapes
Olafur Arnalds,...And They Have Escaped the Weight of Darkness,Erased Tapes
Olafur Arnalds,For Now I Am Winter,Erased Tapes
Olafur Arnalds,re:member ,Erased Tapes
Olafur Arnalds,Some Kind of Peace,Erased Tapes
Otis Redding,Pain In My Heart,Atco
Otis Redding,The Great Otis Redding Sings Soul Ballads ,Volt
Otis Redding,Otis Blue: Otis Redding Sings Soul,Volt
Otis Redding,The Soul Album ,Volt
Otis Redding,Complete & Unbelievable: The Otis Redding Dictionary of Soul ,Volt
Otis Redding,King & Queen,Stax
Otis Redding,The Dock of the Bay,Stax
Joanna Newsom,The Milk-Eyed Mender,Drag City
Joanna Newsom,Ys,Drag City
Joanna Newsom,Have One On Me,Drag City
Joanna Newsom,Divers,Drag City
George Harrison,Wonderwall Music,Apple
George Harrison,Electronic Sound,Zapple
George Harrison,All Things Must Pass,Apple
George Harrison,Living in the Material World,Apple
George Harrison,Dark Horse,Apple
George Harrison,Extra Texture (Read All About It),Apple
George Harrison,Thirty Three & 1/3,Dark Horse
George Harrison,George Harrison,Dark Horse
George Harrison,Somewhere in England,Dark Horse
George Harrison,Gone Troppo,Dark Horse
George Harrison,Cloud Nine,Dark Horse
George Harrison,Brainwashed,Apple
Amy Winehouse,Frank,Island
Amy Winehouse,Back to Black,Island
Amy Winehouse,Amy Winehouse at the BBC,Island
Amy Winehouse,Remixes,Republic
Amy Winehouse,Lioness: Hidden Treasures,Island
Ludovico Einaudi,Time Out,Decca Records
Ludovico Einaudi,Stanze,Decca Records
Ludovico Einaudi,Salgari,Decca Records
Ludovico Einaudi,Le Onde,Sony Classics
Ludovico Einaudi,Eden Roc,Sony Classics
Ludovico Einaudi,I Giorni,Sony Classics
Ludovico Einaudi,In A Time Lapse,Sony Classics
Ludovico Einaudi,12 Songs From Home,Decca Records
Marvin Gaye,The Soulful Moods of Marvin Gaye,Tamia
Marvin Gaye,When I'm Alone I Cry,Tamia
Marvin Gaye,How Sweet It Is to Be Loved by You,Tamia
Marvin Gaye,"A Tribute to the Great Nat ""King"" Cole",Tamia
